district,city,latitude,longitude,updated_time,price,land_area_sqm,building_area_sqm,jumlah lantai,kamar tidur,kamar mandi,carpots,garasi,sertifikat,daya listrik,interior,tahun dibangun
Karawaci,Tangerang,-6.1855302,106.6131874,02/06/2024,Rp 550.000.000,72 m²,160 m²,3,4,3,1,N/A,SHM,N/A,Semi Furnished,N/A
Karawaci,Tangerang,-6.1805834,106.6201927,02/06/2024,Rp 900.000.000,72 m²,160 m²,3,4,3,1,N/A,SHM,N/A,Semi Furnished,N/A
Cisauk,Tangerang,-6.3408595,106.6369178,02/06/2024,Rp 418.000.000,70 m²,45 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2024
Cibodas,Tangerang,-6.209957999999999,106.6104904,02/06/2024,Rp 3.150.000.000,216 m²,173 m²,2,4,3,2,N/A,PPJB,5500 Watt,Full Furnished,2006
Cisauk,Tangerang,-6.3408595,106.6369178,02/06/2024,Rp 360.000.000,60 m²,35 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2024
Karawaci,Tangerang,-6.1805834,106.6201927,02/06/2024,Rp 550.000.000,72 m²,160 m²,3,4,3,1,N/A,SHM,N/A,Semi Furnished,N/A
Karawaci,Tangerang,-6.1805834,106.6201927,02/06/2024,Rp 900.000.000,72 m²,160 m²,3,4,3,1,N/A,SHM,N/A,Semi Furnished,N/A
Pagedangan,Tangerang,-6.291077599999999,106.6529525,02/06/2024,Rp 30.557.000.000,390 m²,621 m²,3,4,4,2,2,HGB,7700 Watt,Unfurnished,2024
Pagedangan,Tangerang,-6.291077599999999,106.6529525,02/06/2024,Rp 18.774.000.000,300 m²,463 m²,3,4,4,2,2,HGB,7700 Watt,Unfurnished,2024
Pagedangan,Tangerang,-6.291077599999999,106.6529525,02/06/2024,Rp 24.161.000.000,383 m²,544 m²,3,4,4,2,2,HGB,7700 Watt,Unfurnished,2024
Cisauk,Tangerang,-6.3408595,106.6369178,02/06/2024,Rp 401.850.000,66 m²,40 m²,1,2,1,2,1,SHM,1300 Watt,Unfurnished,2023
Pagedangan,Tangerang,-6.291077599999999,106.6529525,02/06/2024,Rp 30.557.000.000,390 m²,621 m²,3,4,4,2,2,HGB,7700 Watt,Unfurnished,2024
Pagedangan,Tangerang,-6.291077599999999,106.6529525,02/06/2024,Rp 18.774.000.000,300 m²,463 m²,3,4,4,2,2,HGB,7700 Watt,Unfurnished,2024
Cisauk,Tangerang,-6.3408595,106.6369178,02/06/2024,Rp 370.000.000,60 m²,35 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2023
Tangerang,Tangerang,-6.1701796,106.6403236,02/06/2024,Rp 400.000.000,70 m²,45 m²,1,2,1,2,N/A,SHM,N/A,Unfurnished,N/A
Cisauk,Tangerang,-6.3408595,106.6369178,02/06/2024,Rp 360.050.000,60 m²,35 m²,N/A,2,1,2,1,SHM,1300 Watt,Unfurnished,2023
Cisauk,Tangerang,-6.3408595,106.6369178,02/06/2024,Rp 360.050.000,60 m²,35 m²,1,1,2,2,1,SHM,N/A,Unfurnished,2023
Cisauk,Tangerang,-6.3408595,106.6369178,02/06/2024,Rp 370.000.000,60 m²,35 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2023
Rajeg,Tangerang,-6.128532400000001,106.5318062,02/06/2024,Rp 1.250.000.000,148 m²,365 m²,3,1,2,2,1,HGB,5500 Watt,Unfurnished,N/A
Cisauk,Tangerang,-6.3408595,106.6369178,02/06/2024,Rp 360.050.000,60 m²,35 m²,1,2,1,2,1,SHM,1300 Watt,Unfurnished,2023
Cisauk,Tangerang,-6.3408595,106.6369178,02/06/2024,Rp 360.050.000,60 m²,35 m²,1,2,1,2,1,SHM,1300 Watt,Unfurnished,2023
Legok,Tangerang,-6.2836822,106.590819,02/06/2024,Rp 700.000.000,56 m²,66 m²,2,3,2,1,N/A,HGB,2200 Watt,Unfurnished,2024
